"","building.URL","reg.date","reg.std","owner.type"
"1","http://www.gbig.org/buildings/3749/details","06/22/2000","LEED NC 2.0","Non-Profit Org."
"2","http://www.gbig.org/buildings/1002379/details","10/11/2000","LEED NC 2.0","Local Government"
"3","http://www.gbig.org/buildings/90129/details","12/20/2000","LEED NC 2.0","Non-Profit Org."
"4","http://www.gbig.org/buildings/1002367/details","08/07/2001","LEED NC 2.0","Profit Org."
"5","http://www.gbig.org/buildings/2786/details","03/07/2001","LEED NC 2.0","Profit Org."
"6","http://www.gbig.org/buildings/4455/details","04/06/2001","LEED NC 2.0","State Government, Government Use: State"
"7","http://www.gbig.org/buildings/1301822/details","05/07/2001","LEED NC 2.0","Federal Government"
"8","http://www.gbig.org/buildings/4721/details","08/28/2001","NCES Public Schools","Local Government"
"9","http://www.gbig.org/buildings/7216/details","08/31/2001","LEED NC 2.0","Profit Org."
"10","http://www.gbig.org/buildings/8596/details","09/26/2001","USDA Farmers Markets","Local Government"
"11","http://www.gbig.org/buildings/1308730/details","10/12/2001","LEED NC 2.0","Profit Org."
"12","http://www.gbig.org/buildings/1323581/details","10/19/2001","LEED NC 2.0","Profit Org."
"13","http://www.gbig.org/buildings/599641/details","10/23/2001","LEED NC 2.0","Profit Org., Corporate: Privately Held"
"14","http://www.gbig.org/buildings/10550/details","10/26/2001","LEED NC 2.0","Profit Org."
"15","http://www.gbig.org/buildings/30446/details","06/07/2001","LEED NC 2.0","Non-Profit Org."
"16","http://www.gbig.org/buildings/304/details","06/08/2001","LEED NC 2.0","Profit Org."
"17","http://www.gbig.org/buildings/3242/details","07/11/2001","LEED NC 2.0","Local Government"
"18","http://www.gbig.org/buildings/42502/details","08/14/2001","LEED NC 2.0","Local Government"
"19","http://www.gbig.org/buildings/40056/details","01/17/2002","LEED NC 2.0","Profit Org."
"20","http://www.gbig.org/buildings/1308735/details","02/04/2002","LEED NC 2.0","Local Government"
"21","http://www.gbig.org/buildings/29863/details","07/11/2002","LEED NC 2.0","Local Government"
"22","http://www.gbig.org/buildings/11985/details","07/15/2002","LEED NC 2.0","Local Government, Government Use: Local, City"
"23","http://www.gbig.org/buildings/7940/details","07/16/2002","LEED NC 2.0","State Government"
"24","http://www.gbig.org/buildings/112815/details","07/26/2002","LEED NC 2.0","Profit Org."
"25","http://www.gbig.org/buildings/31708/details","08/01/2002","LEED NC 2.0","Profit Org."
"26","http://www.gbig.org/buildings/12364/details","08/20/2002","LEED NC 2.0","Local Government"
"27","http://www.gbig.org/buildings/38837/details","08/27/2002","LEED NC 2.0","Non-Profit Org."
"28","http://www.gbig.org/buildings/112822/details","09/11/2002","LEED NC 2.0","Local Government"
"29","http://www.gbig.org/buildings/112823/details","09/11/2002","LEED NC 2.0","Local Government"
"30","http://www.gbig.org/buildings/1308750/details","09/30/2002","LEED NC 2.0","Local Government"
"31","http://www.gbig.org/buildings/23040/details","10/02/2002","LEED NC 2.0","Local Government"
"32","http://www.gbig.org/buildings/16806/details","10/02/2002","LEED NC 2.0","State Government"
"33","http://www.gbig.org/buildings/16806/details","10/02/2002","LEED NC 2.0","State Government"
"34","http://www.gbig.org/buildings/16806/details","10/02/2002","LEED NC 2.0","State Government"
"35","http://www.gbig.org/buildings/16806/details","10/02/2002","LEED NC 2.0","State Government"
"36","http://www.gbig.org/buildings/783593/details","10/25/2002","LEED NC 2.0","Other"
"37","http://www.gbig.org/buildings/36059/details","10/30/2002","LEED NC 2.0","State Government, Government Use: State"
"38","http://www.gbig.org/buildings/112792/details","03/12/2002","LEED NC 2.0","Non-Profit Org."
"39","http://www.gbig.org/buildings/34631/details","03/27/2002","LEED NC 2.0","Local Government"
"40","http://www.gbig.org/buildings/112797/details","04/22/2002","LEED NC 2.0","Local Government"
"41","http://www.gbig.org/buildings/15434/details","05/29/2002","LEED NC 2.0","Non-Profit Org."
"42","http://www.gbig.org/buildings/18019/details","06/17/2002","LEED NC 2.0","Other, Government Use: Other (utility, air"
"43","http://www.gbig.org/buildings/1308747/details","07/08/2002","LEED NC 2.1","Profit Org."
