"","project_source_id","Activity.Type","Owner.Type","Space.Type","Project.Size","Certification.date","CBSA","USGBC.Chapter","EPA.Region","ASHRAE.Climate.Zone","Urban.Rural.Classification","Electric.Utility.Provider","address","building.URL","rating_program_name","building.URL","reg.date","reg.std","owner.type"
"1","10000007","LEED","Non-profit","Office","15,000 sq ft","November 12 2004","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","1314 2nd St, Santa Monica, CA, USA","http://www.gbig.org/buildings/3749","LEED NC 2.0","http://www.gbig.org/buildings/3749/details","06/22/2000","LEED NC 2.0","Non-Profit Org."
"2","10000025","LEED","Local Government","Public Assembly","10,700 sq ft","November 18 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","12002 Osborne Street, Sylmar, CA, USA","http://www.gbig.org/buildings/1002379","LEED NC 2.0","http://www.gbig.org/buildings/1002379/details","10/11/2000","LEED NC 2.0","Local Government"
"3","10000042","LEED","Non-profit","Public Assembly","18,650 sq ft","August 26 2008","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","12601 Mulholland Drive, Santa Monica Mountains National Recreation Area, Beverly Hills, CA, USA","http://www.gbig.org/buildings/90129","LEED NC 2.0","http://www.gbig.org/buildings/90129/details","12/20/2000","LEED NC 2.0","Non-Profit Org."
"4","10000060","LEED","Investor","Public Assembly","18,210 sq ft","January 06 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","502 Colorado Avenue, Santa Monica, CA, USA","http://www.gbig.org/buildings/1002367","LEED NC 2.0","http://www.gbig.org/buildings/1002367/details","08/07/2001","LEED NC 2.0","Profit Org."
"5","10000067","LEED","Corporate","Industrial Manufacturing","43,000 sq ft","January 28 2004","Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area","California Central Coast Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Medium metro","Pacific Gas and Electric Co.","1200 La Brea Ave, Santa Maria, CA, USA","http://www.gbig.org/buildings/2786","LEED NC 2.0","http://www.gbig.org/buildings/2786/details","03/07/2001","LEED NC 2.0","Profit Org."
"6","10000086","LEED","State Government","Office","394,000 sq ft","January 10 2003","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Sacramento Municipal Utility District","1430 N St, Sacramento, CA, USA","http://www.gbig.org/buildings/4455","LEED NC 2.0","http://www.gbig.org/buildings/4455/details","04/06/2001","LEED NC 2.0","State Government, Government Use: State"
"7","10000110","LEED","Federal Government","Other","17,000 sq ft","March 03 2005","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","California Central Coast Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Medium metro",NA,"1172 Addor St, Port Hueneme, CA, USA","http://www.gbig.org/buildings/1301822","LEED NC 2.0","http://www.gbig.org/buildings/1301822/details","05/07/2001","LEED NC 2.0","Federal Government"
"8","10000193","LEED","Local Government","K-12","22,401 sq ft",NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","149 N White Rd, San Jose, CA, USA","http://www.gbig.org/buildings/4721","LEED NC 2.0","http://www.gbig.org/buildings/4721/details","08/28/2001","NCES Public Schools","Local Government"
"9","10000198","LEED","Corporate","Office","625,000 sq ft","April 15 2003","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","1980 Western Way, Torrance, CA, USA","http://www.gbig.org/buildings/7216","LEED NC 2.0","http://www.gbig.org/buildings/7216/details","08/31/2001","LEED NC 2.0","Profit Org."
"10","10000216","LEED","Local Government","Public Assembly","29,000 sq ft","May 22 2007","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","2200 Virginia Ave, Santa Monica, CA, USA","http://www.gbig.org/buildings/8596","LEED NC 2.0","http://www.gbig.org/buildings/8596/details","09/26/2001","USDA Farmers Markets","Local Government"
