project_source_id,activity.type,address,rating_program_name,building.URL,reg.date,reg.std,owner.type,zipcode,pilot,cert.date
10000007,LEED,"1314 2nd St, Santa Monica, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/3749/details,6/22/2000,LEED NC 2.0,Non-Profit Org.,90401,FALSE,NA
10000025,LEED,"12002 Osborne Street, Sylmar, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1002379/details,10/11/2000,LEED NC 2.0,Local Government,91342,FALSE,NA
10000042,LEED,"12601 Mulholland Drive, Santa Monica Mountains National Recreation Area, Beverly Hills, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/90129/details,12/20/2000,LEED NC 2.0,Non-Profit Org.,90210,FALSE,NA
10000060,LEED,"502 Colorado Avenue, Santa Monica, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1002367/details,8/7/2001,LEED NC 2.0,Profit Org.,90401,FALSE,NA
10000067,LEED,"1200 La Brea Ave, Santa Maria, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/2786/details,3/7/2001,LEED NC 2.0,Profit Org.,93458,FALSE,NA
10000086,LEED,"1430 N St, Sacramento, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/4455/details,4/6/2001,LEED NC 2.0,"State Government, Government Use: State",95814,FALSE,NA
10000110,LEED,"1172 Addor St, Port Hueneme, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1301822/details,5/7/2001,LEED NC 2.0,Federal Government,93041,FALSE,NA
10000129,LEED,"1500 Capitol Ave, Sacramento, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/27084/details,5/31/2001,LEED NC 2.1,"State Government, Government Use: State",95814,FALSE,NA
10000134,LEED,"2121 Sand Hill Rd, Menlo Park, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/30446/details,6/7/2001,LEED NC 2.0,Non-Profit Org.,94025,FALSE,NA
10000135,LEED,"1 Premier Pl, Irvine, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/304/details,6/8/2001,LEED NC 2.0,Profit Org.,92618,FALSE,NA
10000158,LEED,"1243 San Tomas Aquino Rd, San Jose, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/3242/details,7/11/2001,LEED NC 2.0,Local Government,95117,FALSE,NA
10000173,LEED,"500 Treat Ave, San Francisco, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/38276/details,7/27/2001,LEED NC 2.1,Local Government,94110,FALSE,NA
10000183,LEED,"7935 Vineland Ave, Los Angeles, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/42502/details,8/14/2001,LEED NC 2.0,Local Government,91352,FALSE,NA
10000184,LEED,"6510 El Colegio Road, UC Santa Barbara, Goleta, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/112775/details,2/2/2007,LEED NC 2.1,"State Government, Government Use: State",93106,FALSE,NA
10000193,LEED,"149 N White Rd, San Jose, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/4721/details,8/28/2001,LEED NC 2.0,Local Government,95127,FALSE,NA
10000198,LEED,"1980 Western Way, Torrance, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/7216/details,8/31/2001,LEED NC 2.0,Profit Org.,90501,FALSE,NA
10000216,LEED,"2200 Virginia Ave, Santa Monica, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/8596/details,9/26/2001,LEED NC 2.0,Local Government,90404,FALSE,NA
10000226,LEED,"14020 Elm St, Cabazon, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1308730/details,10/12/2001,LEED NC 2.0,Profit Org.,92230,FALSE,NA
10000232,LEED,"3991 MacArthur Blvd #320, Newport Beach, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1323581/details,10/19/2001,LEED NC 2.0,Profit Org.,92660,FALSE,NA
10000235,LEED,"5001 Northstar Dr, Truckee, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/599641/details,10/23/2001,LEED NC 2.0,"Profit Org., Corporate: Privately Held",96161,FALSE,NA
10000238,LEED,"2812 E Walnut St, Pasadena, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/10550/details,10/26/2001,LEED NC 2.0,Profit Org.,91107,FALSE,NA
10000260,LEED,"301 Tanforan Ave, San Bruno, CA, USA",LEED CS 2.0,http://www.gbig.org/buildings/11297/details,12/6/2001,LEED CS 2.0,Profit Org.,94066,FALSE,NA
10000273,LEED,"6001 Sunol Blvd, Pleasanton, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/40056/details,1/17/2002,LEED NC 2.0,Profit Org.,94566,FALSE,NA
10000290,LEED,"Van Nuys Airport (VNY), 16461 Sherman Way, Van Nuys, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/1308735/details,2/4/2002,LEED NC 2.0,Local Government,91406,FALSE,NA
10000308,LEED,"375 Laguna Honda Blvd, San Francisco, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/13335/details,2/27/2002,LEED NC 2.1,Local Government,94116,FALSE,NA
10000327,LEED,"19480 Bear Creek Road, Los Gatos, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/112792/details,3/12/2002,LEED NC 2.0,Non-Profit Org.,95033,FALSE,NA
10000345,LEED,"3369 Union Ave, San Jose, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/34631/details,3/27/2002,LEED NC 2.0,Local Government,95124,FALSE,NA
10000369,LEED,"50 Tower Road, Highlands-Baywood Park, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/112797/details,4/22/2002,LEED NC 2.0,Local Government,94402,FALSE,NA
10000370,LEED,"100 S Main St, Los Angeles, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/22947/details,4/23/2002,LEED NC 2.1,"State Government, Government Use: State",90012,FALSE,NA
10000371,LEED,"21250 Stevens Creek Blvd, De Anza College, Cupertino, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/8312/details,4/23/2002,LEED NC 2.1,"Local Government, State Government, Other",95014,FALSE,NA
10000406,LEED,"4700 N Griffin Ave, Los Angeles, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/15434/details,5/29/2002,LEED NC 2.0,Non-Profit Org.,90031,FALSE,NA
10000416,LEED,"6075 Kimball Ave, Chino, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/18019/details,6/17/2002,LEED NC 2.0,"Other, Government Use: Other (utility, air",91708,FALSE,NA
10000434,LEED,"13051 Fairway Dr, Truckee, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/1308747/details,7/8/2002,LEED NC 2.1,Profit Org.,96161,FALSE,NA
10000439,LEED,"201 W Sierra Ave, Cotati, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/29863/details,7/11/2002,LEED NC 2.0,Local Government,94931,FALSE,NA
10000445,LEED,"3201 Lacy St, Los Angeles, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/11985/details,7/15/2002,LEED NC 2.0,"Local Government, Government Use: Local, City",90031,FALSE,NA
10000448,LEED,"2050 Center St, Berkeley, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/7940/details,7/16/2002,LEED NC 2.0,State Government,94704,FALSE,NA
10000460,LEED,"175 West 6th Street, The Claremont Colleges, Claremont, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/112815/details,7/26/2002,LEED NC 2.0,Profit Org.,91711,FALSE,NA
10000465,LEED,"2480 Natomas Park Dr, Sacramento, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/31708/details,8/1/2002,LEED NC 2.0,Profit Org.,95833,FALSE,NA
10000479,LEED,"333 Olympic Dr, Santa Monica, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/12364/details,8/20/2002,LEED NC 2.0,Local Government,90401,FALSE,NA
10000483,LEED,"5243 Laurel Canyon Blvd, North Hollywood, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/38837/details,8/27/2002,LEED NC 2.0,Non-Profit Org.,91607,FALSE,NA
10000503,LEED,"9224 Sunland Boulevard, Sunland, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/112822/details,9/11/2002,LEED NC 2.0,Local Government,91352,FALSE,NA
10000504,LEED,"7063 Laurel Canyon Boulevard, Los Angeles, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/112823/details,9/11/2002,LEED NC 2.0,Local Government,91605,FALSE,NA
10000526,LEED,"33801-, 33949 Rowland Dr, Fremont, CA, United States",LEED NC 2.0,http://www.gbig.org/buildings/1308750/details,9/30/2002,LEED NC 2.0,Local Government,94555,FALSE,NA
10000528,LEED,"1000 Lincoln Ave, Woodland, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/23040/details,10/2/2002,LEED NC 2.0,Local Government,95695,FALSE,NA
10000529,LEED,"5320 Lake Rd, Merced, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/16806/details,10/2/2002,LEED NC 2.0,State Government,95340,FALSE,NA
10000548,LEED,"LaKretz Hall, 619 Charles E Young Drive East, University of California, Los Angeles, Los Angeles, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/783593/details,10/25/2002,LEED NC 2.0,Other,90095,FALSE,NA
10000555,LEED,"400 Q St, Sacramento, CA, USA",LEED NC 2.0,http://www.gbig.org/buildings/36059/details,10/30/2002,LEED NC 2.0,"State Government, Government Use: State",95811,FALSE,NA
10000573,LEED,"14409 Vanowen St, Van Nuys, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/26764/details,11/11/2002,LEED NC 2.1,Local Government,91405,FALSE,NA
10000593,LEED,"Marine Science Research, 1 UCEN Road, University of California, Santa Barbara, Santa Barbara, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/783606/details,11/22/2002,LEED NC 2.1,State Government,93106,FALSE,NA
10000594,LEED,"7360 N Lake Blvd, Tahoe National Forest, Tahoe Vista, CA, USA",LEED CI 1.0 Pilots Only,http://www.gbig.org/buildings/41957/details,11/22/2002,LEED CI 1.0 Pilots Only,Individual,96148,TRUE,12/14/2005
10000627,LEED,"1 Shields Avenue, University of California Davis, Davis, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/45667/details,1/13/2003,LEED NC 2.1,"State Government, Educational: University, Public, Educational: College, Public",95616,FALSE,NA
10000631,LEED,"3600 Broadway Street, American Canyon, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/112836/details,1/17/2003,LEED NC 2.1,Other,94503,FALSE,NA
10000662,LEED,"28250 Constellation Road, Santa Clarita, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/428550/details,2/18/2003,LEED NC 2.1,Local Government,91355,FALSE,NA
10000663,LEED,"260 Townsend St, San Francisco, CA, USA",LEED-EB 1.0 Pilot (original),http://www.gbig.org/buildings/32146/details,2/19/2003,LEED-EB 1.0 Pilot (original),"Profit Org., Corporate: Privately Held",94107,TRUE,7/12/2004
10000675,LEED,"210 East Grand Avenue, South San Francisco, CA, USA",LEED CI 1.0 Pilots Only,http://www.gbig.org/buildings/112842/details,2/24/2003,LEED CI 1.0 Pilots Only,Profit Org.,94080,TRUE,8/25/2004
10000689,LEED,"530 Clay St, Fairfield, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/38936/details,3/3/2003,LEED NC 2.1,Local Government,94533,FALSE,NA
10000693,LEED,"73-510 Fred Waring Dr, Palm Desert, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/1308756/details,3/5/2003,LEED NC 2.1,State Government,92260,FALSE,NA
10000698,LEED,"121 Avenida Grande, San Jose, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/25140/details,3/11/2003,LEED NC 2.1,Local Government,95139,FALSE,NA
10000714,LEED,"1 Bush Street, San Francisco, CA, USA",LEED CI 1.0 Pilots Only,http://www.gbig.org/buildings/788826/details,3/13/2003,LEED CI 1.0 Pilots Only,"Profit Org., Corporate: Privately Held, Investor: REIT,Non-traded",94104,TRUE,8/8/2004
10000716,LEED,"12915 Fairway Dr, Truckee, CA, USA",LEED NC 2.1,http://www.gbig.org/buildings/599784/details,3/13/2003,LEED NC 2.1,Profit Org.,96161,FALSE,NA
